created_at,username,text
2021-10-13 12:28:58+00:00,HeavySweetness,@nbcbrooklyn99 All of these are wrong unless they end in “I love you”
2021-10-13 12:12:00+00:00,9drink_amy,RT @9drink_amy: @nbcbrooklyn99 How to find the best ‘stume for Halloween without everyone laughing at you?
2021-10-13 10:54:08+00:00,To_beFlenderson,"@nbcbrooklyn99 ""How to retrieve my sperms from the sperm bank without letting my ex wife know"""
2021-10-13 10:48:05+00:00,DaSupaNova,"@CorridorDigital quite funny how @nbcbrooklyn99 left a green glove to be rotoscoped, so much more work than just ha… https://t.co/qd4rSAHEhq"
2021-10-13 09:10:49+00:00,kkaepsongiee,@nbcbrooklyn99 Mervyn's clothing store near me
2021-10-13 09:05:25+00:00,island_tale_,where can i buy a jake peralta? i am ready to sell my kidney @nbcbrooklyn99
2021-10-13 07:38:28+00:00,joshinpolaroids,@nbcbrooklyn99 How to make your best friend not have any other friends/best friend?
2021-10-13 06:41:59+00:00,JannatulShoilee,WAIT! @EugeneLeeYang was in @nbcbrooklyn99??? How did I not know that? https://t.co/lQCK02nh6y
2021-10-13 06:27:46+00:00,BlackthoughttZ,@nbcbrooklyn99 Jake paralta  Charles Boyle Best Friend
2021-10-13 06:24:12+00:00,josieeeea,@melsperalta @nbcbrooklyn99 @melissafumero Omg thank you 😭❤️
2021-10-13 06:24:01+00:00,josieeeea,@hedair01 @nbcbrooklyn99 @melissafumero Thank you!!!
2021-10-13 06:04:54+00:00,jakesheist,"RT @josieeeea: #PERALTIAGO: there’s a typo in this crossword puzzle 🔍🤍

It’s been a long time coming, but I’ve finally made a start on my B…"
2021-10-13 05:58:15+00:00,hedair01,"@josieeeea @nbcbrooklyn99 @melissafumero The talent, omg 😍🥺"
2021-10-13 04:37:22+00:00,YahyaImran,"@nbcbrooklyn99 ""Is domain Bone Bro taken?"""
2021-10-13 04:34:06+00:00,MonkeyUNCHAINED,This one has hooked me since the first episode.. One will ROFL all through the episode.. Loving all the characters.… https://t.co/fBZJKn5GKQ
2021-10-13 04:31:30+00:00,VaughnQuinto,"RT @amesfavss: @nbcbrooklyn99 THEY'VE COME SO FAR😭
https://t.co/8dRJH1qQkX"
2021-10-13 03:27:57+00:00,rachelintweets,"@helen_ngoc @nbcbrooklyn99 I’ve seen clips of the suspect line up singing Backstreet Boys, does that count? lol"
2021-10-13 03:26:52+00:00,AnalogWalrus,@dslifton @nbcbrooklyn99 I honestly can’t think of many other shows that ran this long where it still feels like it… https://t.co/84m5ZQcRRY
2021-10-13 03:20:43+00:00,Nikkimulhuarxzs,@nbcbrooklyn99 season 8 on @Netflix_PH pls 🥲
2021-10-13 03:13:18+00:00,sadplantdaddy,@nbcbrooklyn99 where to find illegal exotic meat in America
2021-10-13 03:07:45+00:00,AnalogWalrus,Haven’t been able to bring myself to watch the @nbcbrooklyn99 finale until now. This might be rough. 😔
2021-10-13 03:05:13+00:00,Black_Guy10000,"@nbcbrooklyn99 HELP, I think my best friend might be cheating on me!"
2021-10-13 02:44:59+00:00,RC77641520,@nbcbrooklyn99 Where to buy the ms Pac-Man original
2021-10-13 02:23:21+00:00,HpRaven89,RT @NicklessMaddy: @nbcbrooklyn99 “Best Latvian boy toys for your little man”
2021-10-13 02:08:49+00:00,sitcompaege,@nbcbrooklyn99 the best dressings to serve with frog legs
2021-10-13 02:00:23+00:00,1m_a_z0mb13,@nbcbrooklyn99 Bulk Order Lamb Ear Canals
2021-10-13 01:46:40+00:00,madupachsz,RT @nbcbrooklyn99: The #Brooklyn99 cast always knows their lines. But do they know their codes? https://t.co/xwYyrOwVlH
2021-10-13 01:33:18+00:00,therealpatmahon,@nbcbrooklyn99 Quality bat meat
2021-10-13 01:31:32+00:00,RileyBLynch,RT @nbcbrooklyn99: Thinking about how Jake Peralta is the master of surprises. #Brooklyn99 https://t.co/GKrYQKSper
2021-10-14 11:28:06+00:00,RedDevilAbhay18,"Think I found a Plot Hole in Brooklyn 99 😳
Holt said ""a Dirt Bag is a useful part of a Vacuum"" and hence, you shoul… https://t.co/EhHNdP1KUZ"
2021-10-14 11:24:45+00:00,stripthatd0wney,"RT @peraltasburrito: #Brooklyn99 #JakePeralta
-
Mr Samberg you’re under arrest for being too fine 🙄✋🏻 https://t.co/BUgjZTJ9qf"
2021-10-14 11:13:14+00:00,Fireinthedust,"@GailSimone Title of your sex tape!

…I miss #Brooklyn99"
2021-10-14 11:00:22+00:00,4theshows,"idk if this has been done but it’s literally both of them —
#Brooklyn99 https://t.co/QSdAGeseHp"
2021-10-14 10:58:51+00:00,JustinSiderOAFC,“Brooklyn Nine Nine isn’t even funny” 🚩🚩🚩🚩🚩🚩 #Brooklyn99
2021-10-14 10:42:47+00:00,thanku_Ri,RT @peraltiagodaily: this was probably the moment when jake made his important decision 🥺❤️ #Brooklyn99 https://t.co/re9dvkiowE
2021-10-14 10:34:23+00:00,thanku_Ri,RT @peraltiagodaily: everyone says: thank you dan goor for this parallel #Brooklyn99 https://t.co/jbu5jrPHC7
2021-10-14 10:03:31+00:00,Cezthehappyclam,"Just done watching the #Brooklynninenine finale and dammit! Another great show over and done with.

#Brooklyn99 https://t.co/Q0bXXh1kU6"
2021-10-14 09:40:12+00:00,shashankc019,"""I dont like #Brooklyn99"" 🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩🚩"
2021-10-14 08:30:40+00:00,peraltasburrito,"#Brooklyn99 #JakePeralta
-
Mr Samberg you’re under arrest for being too fine 🙄✋🏻 https://t.co/BUgjZTJ9qf"
